film_id,film_rating
"372	","	6.3"
"373	","	6"
"374	","	5.7"
"375	","	6.1"
"376	","	5.8"
"377	","	4.5"
"378	","	7.4"
"379	","	4.9"
"380	","	3.7"
"381	","	7.7"
"382	","	4.9"
"383	","	5.7"
"384	","	6.1"
"385	","	4.8"
"386	","	5.4"
"387	","	5"
"388	","	5.1"
"389	","	5.4"
"390	","	6.3"
"391	","	7.4"
"392	","	6.4"
"393	","	7.1"
"394	","	4.2"
"395	",
"396	","	3.3"
"397	","	6.8"
"398	","	5.8"
"399	","	6.1"
"400	","	6.2"
"401	","	4.3"
"402	","	5.7"
"403	","	6.6"
"404	","	6"
"405	","	7.6"
"406	","	7.2"
"407	","	5.9"
"408	","	5.4"
"409	","	4.5"
"410	","	3.9"
"411	","	5.2"
"412	","	5.6"
"413	","	6.1"
"414	","	6.4"
"415	","	6.2"
"416	","	4.7"
"417	","	6.1"
"418	","	6.7"
"419	","	4.6"
"420	","	7.1"
"421	","	5.7"
"422	","	4.7"
"423	","	6.8"
"424	","	7.6"
"425	","	3.9"
"426	","	6.9"
"427	","	4.6"
"428	","	6.4"
"429	","	7.6"
"430	","	6.5"
"431	","	6.1"
"432	","	6.4"
"433	","	6.1"
"434	","	6.1"
"435	","	5.1"
"436	","	5.7"
"437	","	6.6"
"438	","	5.3"
"439	","	5.9"
"440	","	6.2"
"441	","	7.1"
"442	","	7.2"
"443	","	5.8"
"444	","	7"
"445	","	7.2"
"446	","	5.9"
"447	","	5.5"
"448	","	7"
"449	","	7.5"
"450	","	4.8"
"451	","	4.8"
"452	","	6.1"
"453	","	4.8"
"454	","	6.7"
"455	","	7.2"
"456	","	7.6"
"457	","	7.1"
"458	","	6.9"
"459	","	6"
"460	","	5.6"
"461	","	5.8"
"462	","	6.7"
"463	","	7.5"
"464	","	5.9"
"465	","	5.8"
"466	","	5.5"
"467	","	4.2"
"468	","	6.4"
"469	","	5.7"
"470	","	6.6"
"471	","	5.6"
"472	","	7.2"
"473	","	4"
"474	","	8.3"
"475	","	5.3"
"476	","	7.3"
"477	","	5.9"
"478	","	7.1"
"479	","	6.4"
"480	","	5.4"
"481	","	6.8"
"482	","	6.9"
"483	","	5.7"
"484	","	5.2"
"485	","	6.5"
"486	","	6.5"
"487	","	4.9"
"488	","	7.9"
"489	","	5.6"
"490	","	6.1"
"491	","	5.4"
"492	","	4"
"493	","	4"
"494	","	6.1"
"495	","	5"
"496	","	7.4"
"497	","	6.3"
"498	","	7.6"
"499	","	6.2"
"500	","	7.4"
"501	","	5.5"
"502	","	7.5"
"503	","	7.3"
"504	","	6.2"
"505	","	6"
"506	","	0"
"507	","	3"
"508	","	6.9"
"509	","	6.3"
"510	","	4.7"
"511	","	6.4"
"512	","	4"
"513	","	5.1"
"514	","	6"
"515	","	0"
"516	","	0"
"517	","	7.2"
"518	","	5.3"
"519	","	6.3"
"520	","	0"
"521	","	5"
"522	","	4.4"
"523	","	7"
"524	","	6.8"
"525	","	6"
"526	","	5.9"
"527	","	7.1"
"528	","	6.9"
"529	","	7.4"
"530	","	7.7"
"531	","	7.6"
"532	","	6.3"
"533	","	7"
"534	","	8.1"
"535	","	6.9"
"536	","	7.5"
"537	","	6.9"
